transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd,timestamp
0xed598331df5799f73299602851e6f163434b44780e308f3cd3e2add7fbf186c2,14644093,2022-04-23,4803,0x1f69ffd815e12a78f42188a7a8e3797f406f2fbf,0x1dd9d35b3fa0d39e9f2f12100c1647260ad22331,0x1f69ffd815e12a78f42188a7a8e3797f406f2fbf,0x1dd9d35b3fa0d39e9f2f12100c1647260ad22331,37.99,112719.56998619971,1650757700
0xf7dd212c9c1f0eadda8e05cdb427c3c928ffb53bf0d3e267fb6349a7fd8ada0a,14644086,2022-04-23,8016,0xf5f78112ac1fa2004386487f371d3e56586b5706,0xd34c226cd4d3261311d09bc520000e537b98e16e,0xf5f78112ac1fa2004386487f371d3e56586b5706,0xd34c226cd4d3261311d09bc520000e537b98e16e,37.79,112126.15292915209,1650757575
0x89e4bf84303be83a29ca5b87313fed0b80f3bae6d5f41e2c15ea71874196151d,14644067,2022-04-23,5591,0xc5e0caddd0ec430993d97112c1ef8bf6b40e881d,0x584be9377137d1c34b13ff1d6c8d556fec448100,0xc5e0caddd0ec430993d97112c1ef8bf6b40e881d,0x584be9377137d1c34b13ff1d6c8d556fec448100,37.6,111562.40672495682,1650757360
0xdc56cdda05b7ebc9f7590d89f247c0a59266c3b9cbdecf7076e8e6c12f02dba9,14644001,2022-04-23,4197,0x1b03fabf10843fa675b384490660ee5a1f7161e1,0xc7b72bb1acdce3eb45f9b38f43cd31e4927c725b,0x1b03fabf10843fa675b384490660ee5a1f7161e1,0xc7b72bb1acdce3eb45f9b38f43cd31e4927c725b,45.0,133518.8378357196,1650756280
0x7a93cb7c0213aadfbea66b547a3afa2e11632c8e5b720953dda42096fae7f729,14643993,2022-04-23,6019,0x039217941dd9b829fff3ae545cca4f1f94cb36b2,0x92707cc49cc322bbb9fecbcbf658da3bdaf43e8b,0x92707cc49cc322bbb9fecbcbf658da3bdaf43e8b,0x039217941dd9b829fff3ae545cca4f1f94cb36b2,38.201625,113347.47940968824,1650756152
0x91678f66c762121fa6e7a41dc81685994b2850deaff3e9d9fc756248b220d8cb,14643979,2022-04-23,4928,0x764732c00197432ffe868af83e154806674fc4df,0x9506c9b52fa51d5a512f777a6f4dfd92191a011e,0x764732c00197432ffe868af83e154806674fc4df,0x9506c9b52fa51d5a512f777a6f4dfd92191a011e,38.0,112749.2408390521,1650755951
0x347fe0ca3689b0e3e2a4346832c4c82a5f48a764e36193a70179df29a2dc3f24,14643970,2022-04-23,7085,0x1851243709c6d4618de0ab44c31822b4d973b543,0x0f4a62e35e4fd86aa99f393b69df3bff3a0595b9,0x1851243709c6d4618de0ab44c31822b4d973b543,0x0f4a62e35e4fd86aa99f393b69df3bff3a0595b9,40.5,120166.95405214764,1650755725
0x1613b960a55483be0f8d57f4f17ccff9defb6ca85c92efa99d3fe8b01e15ca7f,14643872,2022-04-23,9692,0x77b4777a2a87fdfba32e181a5596f418dc027ed8,0x1dd9d35b3fa0d39e9f2f12100c1647260ad22331,0x77b4777a2a87fdfba32e181a5596f418dc027ed8,0x1dd9d35b3fa0d39e9f2f12100c1647260ad22331,38.89,115389.94674291412,1650754539
0x260bf411b689464057cae471b804a19a2992fb0a8359fb502a25c36b99ccbbe8,14643834,2022-04-23,3522,0x38c5609178ee9bab5a4b1e0da6e129dfc0704558,0x5ab5844dd55ab73212d1527e4cf72fea884e39dd,0x38c5609178ee9bab5a4b1e0da6e129dfc0704558,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,38.45,114084.4292174093,1650754068
0x260bf411b689464057cae471b804a19a2992fb0a8359fb502a25c36b99ccbbe8,14643834,2022-04-23,2372,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x5ab5844dd55ab73212d1527e4cf72fea884e39dd,0x38c5609178ee9bab5a4b1e0da6e129dfc0704558,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,38.45,114084.4292174093,1650754068
